ablation,ant_per_node,auc_motion,auc_spectrum,bw_equiv_mhz,ctl_motion,ctl_spectrum,n_chains,n_neg,n_pos,n_sub,nodes,pkt_per_s,stride
packet_rate,,0.5045147235576923,0.855145733173077,,0.061484375,0.0830078125,,320,416,,,196.2,1
packet_rate,,0.4927509014423077,0.8532827524038461,,0.0660546875,0.088046875,,320,416,,,98.1,2
packet_rate,,0.49341947115384616,0.8504356971153846,,0.0869921875,0.09109375,,320,416,,,49.0,4
packet_rate,,0.5115760216346154,0.84052734375,,0.0708203125,0.10890625,,320,416,,,19.6,10
packet_rate,,0.5119441105769231,0.8274789663461538,,0.1065234375,0.1502734375,,320,416,,,9.8,20
packet_rate,,0.530596454326923,0.784375,,0.1785546875,0.1946484375,,320,416,,,4.9,40
subcarriers,,0.5045147235576923,0.855145733173077,20.0,0.061484375,0.0830078125,,320,416,234,,,
subcarriers,,0.5058218149038461,0.8542217548076924,10.0,0.060546875,0.0832421875,,320,416,117,,,
subcarriers,,0.5023362379807692,0.8588491586538461,5.0,0.0619921875,0.08265625,,320,416,58,,,
subcarriers,,0.5001352163461539,0.8529522235576923,2.5,0.063515625,0.0822265625,,320,416,29,,,
subcarriers,,0.49526742788461536,0.853680889423077,1.2,0.069375,0.081015625,,320,416,14,,,
chains,1,0.49566556490384617,0.7385667067307692,,0.1849609375,0.151640625,1,320,416,,node1,,
chains,2,0.4946063701923077,0.7600285456730769,,0.095234375,0.1088671875,2,320,416,,node1,,
chains,1,0.501299579326923,0.8298377403846153,,0.076328125,0.12296875,2,320,416,,both,,
chains,2,0.5045147235576923,0.855145733173077,,0.061484375,0.0830078125,4,320,416,,both,,
